Date,Open,High,Low,Close,Volume,Adj Close
2016-07-15,22.29,22.36,21.85,21.91,9769600,21.91
2016-07-14,21.91,22.50,21.90,22.29,17633100,22.29
2016-07-13,21.81,22.16,21.70,21.96,10155900,21.96
2016-07-12,21.77,21.94,21.26,21.81,9711100,21.81
2016-07-11,22.20,22.22,21.50,21.73,13117700,21.73
2016-07-08,22.28,22.44,22.01,22.10,10369400,22.10
2016-07-07,21.89,22.49,21.86,22.22,16599300,22.22
2016-07-06,22.07,22.07,21.71,21.80,8121100,21.80
2016-07-05,21.98,22.34,21.80,22.07,11356100,22.07
2016-07-04,21.59,22.01,21.50,21.98,10161000,21.98
2016-07-01,21.90,21.99,21.65,21.69,7605900,21.69
2016-06-30,21.73,22.07,21.58,21.69,8651100,21.69
2016-06-29,22.01,22.13,21.80,21.85,11679500,21.85
2016-06-28,21.60,21.85,21.39,21.81,13859500,21.81
2016-06-27,21.00,21.86,20.91,21.68,11490500,21.68
2016-06-24,21.56,21.76,20.40,21.12,15912600,21.12
2016-06-23,21.64,21.93,21.47,21.63,11612600,21.63
2016-06-22,21.16,21.65,21.16,21.64,10434000,21.64
2016-06-21,21.76,21.95,21.18,21.28,13542100,21.28
2016-06-20,21.78,21.95,21.21,21.56,11866500,21.56
2016-06-17,22.00,22.48,21.57,21.73,21514900,21.73
